,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
15,200,907,908,17398.73969,17398.0,-147.9379999997036,-4.251399889754204e-05,2022-04-06 09:25:00,2022-04-06 09:30:00,0 days 00:05:00
16,-200,909,926,17389.25965,17433.0,-8748.070000000007,-0.002515365856878171,2022-04-06 09:35:00,2022-04-06 11:00:00,0 days 01:25:00
17,200,927,957,17448.75619,17477.0,5648.761999999988,0.0016186718235071673,2022-04-06 11:05:00,2022-04-06 13:35:00,0 days 02:30:00
18,-200,1007,1017,17212.318059999998,17137.0,15063.611999999557,0.004375823159753822,2022-04-07 12:45:00,2022-04-07 13:35:00,0 days 00:50:00
19,200,1027,1077,17180.66775,17277.0,19266.449999999895,0.0056070143140973805,2022-04-08 09:25:00,2022-04-08 13:35:00,0 days 04:10:00
20,-200,1110,1137,17017.38241,16993.0,4876.481999999669,0.001432794387089209,2022-04-11 11:20:00,2022-04-11 13:35:00,0 days 02:15:00
21,200,1147,1197,16979.60142,16996.0,3279.7160000001895,0.0009657812097216834,2022-04-12 09:25:00,2022-04-12 13:35:00,0 days 04:10:00
22,200,1223,1257,17244.688869999998,17283.0,7662.2260000003735,0.0022216190903072697,2022-04-13 10:45:00,2022-04-13 13:35:00,0 days 02:50:00
23,-200,1267,1317,17282.29496,17263.0,3858.991999999853,0.001116458204460602,2022-04-14 09:25:00,2022-04-14 13:35:00,0 days 04:10:00
24,-200,1329,1377,17075.363269999998,16969.0,21272.653999999602,0.006229048736366871,2022-04-15 09:35:00,2022-04-15 13:35:00,0 days 04:00:00
25,-200,1387,1437,16919.41475,16866.0,10682.949999999983,0.003157009316767323,2022-04-18 09:25:00,2022-04-18 13:35:00,0 days 04:10:00
26,-200,1632,1664,16895.42267,16948.0,-10515.466000000015,-0.003111927474496179,2022-04-22 09:50:00,2022-04-22 12:30:00,0 days 02:40:00
27,200,1665,1677,16973.599439999998,16988.0,2880.112000000372,0.0008484093224248035,2022-04-22 12:35:00,2022-04-22 13:35:00,0 days 01:00:00
28,-200,1687,1737,16612.516059999998,16563.0,9903.211999999621,0.0029806478333058717,2022-04-25 09:25:00,2022-04-25 13:35:00,0 days 04:10:00
29,200,1747,1797,16612.48031,16574.0,-7696.061999999802,-0.0023163494723202893,2022-04-26 09:25:00,2022-04-26 13:35:00,0 days 04:10:00
30,-200,1808,1834,16296.62034,16320.0,-4675.932000000103,-0.0014346324275968936,2022-04-27 09:30:00,2022-04-27 11:40:00,0 days 02:10:00
31,200,1835,1852,16338.389889999999,16240.0,-19677.97799999971,-0.006022006492831911,2022-04-27 11:45:00,2022-04-27 13:10:00,0 days 01:25:00
32,-200,1853,1857,16251.635189999999,16271.0,-3872.9620000001887,-0.0011915607121131266,2022-04-27 13:15:00,2022-04-27 13:35:00,0 days 00:20:00
33,200,2119,2127,16715.5143,16678.0,-7502.859999999782,-0.0022442803330315897,2022-05-05 10:25:00,2022-05-05 11:05:00,0 days 00:40:00
34,-200,2167,2196,16289.62265,16353.0,-12675.470000000132,-0.003890657958243171,2022-05-06 09:25:00,2022-05-06 11:50:00,0 days 02:25:00
35,200,2197,2217,16353.394839999999,16361.0,1521.0320000001957,0.00046505083956027704,2022-05-06 11:55:00,2022-05-06 13:35:00,0 days 01:40:00
36,-200,2227,2277,16127.676109999999,16019.0,21735.221999999703,0.006738485399803706,2022-05-09 09:25:00,2022-05-09 13:35:00,0 days 04:10:00
37,200,2287,2288,15838.22489,15820.0,-3644.977999999901,-0.0011506901894988708,2022-05-10 09:25:00,2022-05-10 09:30:00,0 days 00:05:00
38,-200,2289,2295,15824.7761,15939.802999999998,-23005.379999999786,-0.007268785306858039,2022-05-10 09:35:00,2022-05-10 10:05:00,0 days 00:30:00
39,200,2296,2337,15940.258549999999,16026.0,17148.29000000027,0.005378924672460927,2022-05-10 10:10:00,2022-05-10 13:35:00,0 days 03:25:00
40,-200,2445,2457,15732.80646,15616.0,23361.291999999958,0.007424388032546858,2022-05-12 12:35:00,2022-05-12 13:35:00,0 days 01:00:00
41,200,2469,2517,15802.21301,15827.0,4957.398000000103,0.001568577134374527,2022-05-13 09:35:00,2022-05-13 13:35:00,0 days 04:00:00
42,200,2647,2697,16201.344679999998,16209.0,1531.0640000003332,0.00047251139650472673,2022-05-18 09:25:00,2022-05-18 13:35:00,0 days 04:10:00
43,-200,2707,2734,15930.741119999999,15930.0,148.2239999997546,4.65213761504657e-05,2022-05-19 09:25:00,2022-05-19 11:40:00,0 days 02:15:00
44,200,2735,2757,15936.25723,15950.0,2748.5540000001492,0.0008623586957501317,2022-05-19 11:45:00,2022-05-19 13:35:00,0 days 01:50:00
45,-200,2903,2937,16017.712409999998,15934.0,16742.481999999654,0.005226240043349484,2022-05-24 10:45:00,2022-05-24 13:35:00,0 days 02:50:00
46,200,2948,2997,15993.276039999999,16091.0,19544.792000000234,0.00611031534474793,2022-05-25 09:30:00,2022-05-25 13:35:00,0 days 04:05:00
47,200,3067,3117,16221.351279999999,16228.0,1329.7440000002098,0.0004098746081775406,2022-05-27 09:25:00,2022-05-27 13:35:00,0 days 04:10:00
48,200,3127,3177,16464.43147,16567.0,20513.706000000093,0.006229703721436719,2022-05-30 09:25:00,2022-05-30 13:35:00,0 days 04:10:00
49,-200,3187,3204,16493.55533,16559.0,-13088.934000000154,-0.003967893440231407,2022-05-31 09:25:00,2022-05-31 10:50:00,0 days 01:25:00
50,200,3205,3237,16564.46447,16685.0,24107.106000000203,0.007276753813460379,2022-05-31 10:55:00,2022-05-31 13:35:00,0 days 02:40:00
51,-200,3247,3260,16685.49197,16748.0,-12501.606000000174,-0.0037462503420568893,2022-06-01 09:25:00,2022-06-01 10:30:00,0 days 01:05:00
52,200,3261,3267,16752.52651,16631.757,-24153.901999999653,-0.007209032615343558,2022-06-01 10:35:00,2022-06-01 11:05:00,0 days 00:30:00
53,-200,3268,3297,16642.50616,16628.0,2901.2320000001637,0.0008716331459059923,2022-06-01 11:10:00,2022-06-01 13:35:00,0 days 02:25:00
54,-200,3503,3537,16673.495929999997,16631.0,8499.185999999463,0.002548711450700347,2022-06-08 10:45:00,2022-06-08 13:35:00,0 days 02:50:00
55,-200,3667,3717,16010.71472,16046.0,-7057.056000000011,-0.002203854144994688,2022-06-13 09:25:00,2022-06-13 13:35:00,0 days 04:10:00
56,-200,3727,3750,15885.755969999998,15922.0,-7248.806000000332,-0.0022815426642865955,2022-06-14 09:25:00,2022-06-14 11:20:00,0 days 01:55:00
57,200,3753,3777,15919.25162,16048.0,25749.67600000018,0.008087589986846444,2022-06-14 11:35:00,2022-06-14 13:35:00,0 days 02:00:00
58,-200,3871,3897,15622.84276,15400.0,44568.55199999991,0.01426390596278393,2022-06-16 11:25:00,2022-06-16 13:35:00,0 days 02:10:00
59,-200,3907,3950,15218.976079999999,15238.0,-3804.7840000002907,-0.0012500131349180155,2022-06-17 09:25:00,2022-06-17 13:00:00,0 days 03:35:00
60,200,3951,3957,15233.025239999999,15214.0,-3805.047999999806,-0.0012489469229027828,2022-06-17 13:05:00,2022-06-17 13:35:00,0 days 00:30:00
61,-200,3967,4017,15170.991919999999,14980.0,38198.383999999714,0.012589283614884317,2022-06-20 09:25:00,2022-06-20 13:35:00,0 days 04:10:00
62,200,4066,4077,15342.06121,15357.0,2987.7580000000307,0.0009737146655537376,2022-06-21 12:40:00,2022-06-21 13:35:00,0 days 00:55:00
63,-200,4087,4137,15243.96783,15013.0,46193.56599999992,0.015151424653721546,2022-06-22 09:25:00,2022-06-22 13:35:00,0 days 04:10:00
